Edad,Ingreso Mensual,Calificacion,Modalidad Escolar,Dependientes,Recurses,Nivel economico,Becas Adicionales,Beca Valida
0.5,0.74260029,0.9593908629,0,0,0,1,0,1
0.3,0.1630383885,0.9923857868,0,0.5,0.5263157895,0,0,1
0.8,0.8031344148,0.3705583756,0,1,0.5263157895,0,0,1
0,1,0.807106599,0,1,0.8947368421,0.5,1,0
0.3,0.11812862,0.383248731,0,0.5,0.5263157895,0,1,0
1,0.09030529854,0.04060913706,1,0,0.8947368421,0,1,0
0.5,0.8512316715,0.04822335025,0,0,0.6842105263,1,0,0
0.2,0.2687146922,0.4974619289,1,0.5,0.5263157895,0,0.5,0
0.2,0.4586011029,0.9720812183,0,1,0.7368421053,0,0.5,1
0.3,0.1746413947,0.1649746193,0,1,0.7894736842,0,1,0
0,0.31876907,0.9416243655,0,0,0.5263157895,0.5,0,1
0,0.6799020375,0.2131979695,0,1,0.7368421053,0,1,0
0.1,0.9930582447,0.9162436548,1,0.5,0.2631578947,0.5,0.5,1
0.5,0.7541607277,1,1,1,0,0,0,1
1,0.1246718106,0.807106599,0,0,0.3157894737,0,0.5,1
1,0.6559181202,0.2461928934,1,1,0.1052631579,0,0.5,0
0.3,0.5885170782,0.03045685279,1,0,0.5263157895,0.5,0.5,0
0.8,0.1223967988,0.4365482234,1,0.5,0.4210526316,0,0,1
0.5,0.226864363,0.9086294416,0,0.5,0.3684210526,0,0,1
1,0.9383233915,0.2741116751,0,0.5,0.6315789474,0.5,1,0
0.9,0.1260824071,0.3299492386,1,0.5,0.3157894737,0,1,0
0.3,0.0753826359,0.7030456853,1,0,0.7368421053,0,1,0
0.9,0.8693957195,0.06091370558,1,1,0.5789473684,0.5,1,0
0.3,0.3014292717,0.2918781726,1,0,0.4210526316,0.5,0,1
0.9,0.7012343492,0.6827411168,0,0.5,0.1052631579,0.5,0.5,0
